rank,name,position,overall,potential,age,club,league,nation
9,Sadio Mane,LW,90,90,28,Liverpool,Premier League,Senegal
10,Mohamed Salah,RW,90,90,28,Liverpool,Premier League,Egypt
11,Alisson Rams√©s Becker,GK,90,91,27,Liverpool,Premier League,Brazil
12,Kylian Mbappe,ST,90,95,21,Paris Saint-Germain,Ligue 1,France
7,Luka Modric,CM,90,90,33,Real Madrid CF,La Liga,Croatia
8,Marc-Andre ter Stegen,GK,90,93,27,FC Barcelona,La Liga,Germany
9,Virgil van Dijk,CB,90,91,27,Liverpool,Premier League,Netherlands
10,Mohamed Salah Ghaly,RW,90,90,27,Liverpool,Premier League,Egypt
10,Manuel Peter Neuer,GK,90,90,32,FC Bayern Munchen,Bundesliga,Germany
11,Diego Godin,CB,90,90,32,Atletico de Madrid,La Liga,Uruguay
12,Toni Kroos,CM,90,90,28,Real Madrid CF,La Liga,Germany
13,Robert Lewandowski,ST,90,90,29,FC Bayern Munchen,Bundesliga,Poland
14,Thibaut Courtois,GK,90,91,26,Real Madrid CF,La Liga,Belgium
15,Jan Oblak,GK,90,93,25,Atletico de Madrid,La Liga,Slovenia
7,Sergio Ramos,CB,90,90,31,Real Madrid CF,La Liga,Spain
8,Gonzalo Gerardo Higuain,ST,90,90,29,Juventus,Serie A,Argentina
9,Toni Kroos,CM,90,90,27,Real Madrid CF,La Liga,Germany
10,Eden Hazard,LW,90,91,26,Chelsea,Premier League,Belgium
11,David De Gea Quintana,GK,90,92,26,Manchester United,Premier League,Spain
9,Mohamed Salah,RW,89,90,31,Liverpool,Premier League,Egypt
10,Ruben Dias,CB,89,92,26,Manchester City,Premier League,Portugal
11,Vini Jr.,LW,89,96,23,Real Madrid,La Liga,Brazil
12,Rodri,CDM,89,96,27,Manchester City,Premier League,Spain
13,Neymar Jr,LW,89,91,31,Al Hilal,Pro League,Brazil
14,Marc-Andre ter Stegen,GK,89,90,31,FC Barcelona,La Liga,Germany
15,Virgil van Dijk,CB,89,90,32,Liverpool,Premier League,Holland
16,Alisson,GK,89,89,31,Liverpool,Premier League,Brazil
17,Casemiro,CDM,89,91,31,Manchester Utd,Premier League,Brazil
8,Manuel Neuer,GK,89,89,36,FC Bayern Munchen,Bundesliga,Germany
9,Neymar,LW,89,89,30,Paris Saint Germain,Ligue 1,Brazil
10,Casimiro,CDM,89,89,30,Manchester United,Premier League,Brazil
11,Jan Oblak,GK,89,90,29,Atletico Madrid,La Liga,Slovenia
12,Harry Kane,ST,89,89,28,Tottenham Hotspur,Premier League,England
13,Virgil van Dijk,CB,89,89,30,Liverpool,Premier League,Netherlands
14,Sadio Mane,CF,89,89,30,FC Bayern Munchen,Bundesliga,Senegal
15,Ederson,GK,89,91,28,Manchester City,Premier League,Brazil
16,Joshua Kimmich,CDM,89,90,27,FC Bayern Munchen,Bundesliga,Germany
17,Alisson,GK,89,90,29,Liverpool,Premier League,Brazil
18,Erling Haaland,ST,89,94,21,Manchester City,Premier League,Norway
12,Karim Benzema,CF,89,89,33,Real Madrid CF,La Liga,France
13,Thibaut Courtois,GK,89,91,29,Real Madrid CF,La Liga,Belgium
14,Son,LM,89,89,28,Tottenham Hotspur,Premier League,Korea Republic
15,Casimiro,CDM,89,89,29,Real Madrid CF,La Liga,Brazil
16,Virgil van Dijk,CB,89,89,29,Liverpool,Premier League,Netherlands
17,Sadio Mane,LW,89,89,29,Liverpool,Premier League,Senegal
18,Mohamed Salah Ghaly,RW,89,89,29,Liverpool,Premier League,Egypt
19,Ederson,GK,89,91,27,Manchester City,Premier League,Brazil
20,Joshua Kimmich,CDM,89,90,26,FC Bayern Munchen,Bundesliga,Germany
21,Alisson,GK,89,90,28,Liverpool,Premier League,Brazil
22,Gianluigi Donnarumma,GK,89,93,22,Paris Saint-Germain,Ligue 1,Italy
13,Sergio Aguero,ST,89,89,32,Manchester City,Premier League,Argentina
14,Sergio Ramos,CB,89,89,34,Real Madrid CF,La Liga,Spain
15,Karim Benzema,CF,89,89,32,Real Madrid CF,La Liga,France
16,Manuel Peter Neuer,GK,89,89,34,FC Bayern Munchen,Bundesliga,Germany
17,Thibaut Courtois,GK,89,90,28,Real Madrid CF,La Liga,Belgium
18,Casimiro,CDM,89,89,28,Real Madrid CF,La Liga,Brazil
11,Giorgio Chiellini,CB,89,89,34,Juventus,Serie A,Italy
12,Sergio Aguero,ST,89,89,31,Manchester City,Premier League,Argentina
13,Sergio Ramos,CB,89,89,33,Real Madrid CF,La Liga,Spain
14,Luis Suarez,ST,89,89,32,FC Barcelona,La Liga,Uruguay
15,Robert Lewandowski,ST,89,89,30,FC Bayern M√ºnchen,Bundesliga,Poland
16,Sergio Busquets i Burgos,CDM,89,89,30,FC Barcelona,La Liga,Spain
17,David De Gea Quintana,GK,89,90,28,Manchester United,Premier League,Spain
18,Antoine Griezmann,CF,89,89,28,FC Barcelona,La Liga,France
19,Kalidou Koulibaly,CB,89,91,28,Napoli,Serie A,Senegal
20,Harry Kane,ST,89,91,25,Tottenham Hotspur,Premier League,England
21,Alisson,GK,89,91,26,Liverpool,Premier League,Brazil
22,N'Golo Kante,CDM,89,90,28,Chelsea,Premier League,France
23,Kylian Mbappe,ST,89,95,20,Paris Saint-Germain,Ligue 1,France
16,Giorgio Chiellini,CB,89,89,33,Juventus,Serie A,Italy
17,Sergio Aguero,ST,89,89,30,Manchester City,Premier League,Argentina
18,David Silva,CAM,89,89,32,Manchester City,Premier League,Spain
19,Mats Hummels,CB,89,89,29,FC Bayern Munchen,Bundesliga,Germany
20,Edinson Cavani,ST,89,89,31,Paris Saint-Germain,Ligue 1,Uruguay
21,Marc-Andre ter Stegen,GK,89,92,26,FC Barcelona,La Liga,Germany
22,Antoine Griezmann,ST,89,90,27,Atletico de Madrid,La Liga,France
23,Isco,CAM,89,92,26,Real Madrid CF,La Liga,Spain
24,Harry Kane,ST,89,92,24,Tottenham Hotspur,Premier League,England
25,Paulo Bruno Exequiel Dybala,CAM,89,94,24,Juventus,Serie A,Argentina
26,N'Golo Kante,CDM,89,90,27,Chelsea,Premier League,France
12,Gianluigi Buffon,GK,89,89,39,Juventus,Serie A,Italy
13,Giorgio Chiellini,CB,89,89,32,Juventus,Serie A,Italy
14,Sergio Aguero,ST,89,89,29,Manchester City,Premier League,Argentina
15,Gareth Frank Bale,RW,89,89,27,Real Madrid CF,La Liga,Wales
16,Luka Modric,CM,89,89,31,Real Madrid CF,La Liga,Croatia
17,Alexis Sanchez,LM,89,89,28,Arsenal,Premier League,Chile
18,Thibaut Courtois,GK,89,92,25,Chelsea,Premier League,Belgium
19,Kevin De Bruyne,CAM,89,92,26,Manchester City,Premier League,Belgium
18,Bruno Fernandes,CAM,88,89,29,Manchester Utd,Premier League,Portugal
19,Antoine Griezmann,ST,88,88,32,Atletico Madrid,La Liga,France
20,Victor Osimhen,ST,88,90,24,Napoli FC,Serie A,Nigeria
21,Bernardo Silva,CM,88,91,29,Manchester City,Premier League,Portugal
22,Federico Valverde,CM,88,92,25,Real Madrid,La Liga,Uruguay
23,Ederson,GK,88,88,30,Manchester City,Premier League,Brazil
24,Joshua Kimmich,CDM,88,89,28,FC Bayern Munchen,Bundesliga,Germany
25,Jan Oblak,GK,88,89,30,Atletico de Madrid,La Liga,Slovenia
19,Cristiano Ronaldo,ST,88,88,37,Al Nassr,Pro League,Portugal
20,Luka Modric,CM,88,88,36,Real Madrid,La Liga,Croatia
21,Toni Kroos,CM,88,88,32,Real Madrid,La Liga,Germany
22,Marc-Andre ter Stegen,GK,88,89,30,FC Barcelona,La Liga,Germany
23,Keylor Navas,GK,88,88,35,Paris Saint Germain,Ligue 1,Costa Rica
24,Son,LW,88,88,29,Tottenham Hotspur,Premier League,Korea Republic
25,Marquinhos,CB,88,90,28,Paris Saint Germain,Ligue 1,Brazil
26,Cancelo,LB,88,88,28,Manchester City,Premier League,Portugal
27,N'Golo Kante,CDM,88,88,31,Chelsea,Premier League,France
28,Bernardo Silva,CAM,88,88,27,Manchester City,Premier League,Portugal
29,Gianluigi Donnarumma,GK,88,92,23,Paris Saint Germain,Ligue 1,Italy
30,Ruben Dias,CB,88,91,25,Manchester City,Premier League,Portugal
23,Sergio Ramos,CB,88,88,35,Paris Saint-Germain,Ligue 1,Spain
24,Luis Suarez,ST,88,88,34,Atletico de Madrid,La Liga,Uruguay
25,Toni Kroos,CM,88,88,31,Real Madrid CF,La Liga,Germany
26,Romelu Lukaku Menama,ST,88,88,28,Chelsea,Premier League,Belgium
27,Keylor Navas,GK,88,88,34,Paris Saint-Germain,Ligue 1,Costa Rica
28,Raheem Sterling,LW,88,89,26,Manchester City,Premier League,England
29,Bruno Fernandes,CAM,88,89,26,Manchester United,Premier League,Portugal
30,Erling Haaland,ST,88,93,20,Borussia Dortmund,Bundesliga,Norway
19,Samir Handanoviƒç,GK,88,88,35,Inter,Serie A,Slovenia
20,Toni Kroos,CM,88,88,30,Real Madrid CF,La Liga,Germany
21,Eden Hazard,LW,88,88,29,Real Madrid CF,La Liga,Belgium
22,Kalidou Koulibaly,CB,88,88,29,Napoli,Serie A,Senegal
23,Harry Kane,ST,88,89,26,Tottenham Hotspur,Premier League,England
24,Raheem Sterling,LW,88,90,25,Manchester City,Premier League,England
25,Ederson Santana de Moraes,GK,88,91,26,Manchester City,Premier League,Brazil
26,Paulo Bruno Exequiel Dybala,CF,88,89,26,Juventus,Serie A,Argentina
27,Joshua Walter Kimmich,CDM,88,90,25,FC Bayern Munchen,Bundesliga,Germany
28,N'Golo Kante,CDM,88,88,29,Chelsea,Premier League,France
24,Gerard Pique,CB,88,88,32,FC Barcelona,La Liga,Spain
25,Samir Handanoviƒç,GK,88,88,34,Inter,Serie A,Slovenia
26,Manuel Peter Neuer,GK,88,88,33,FC Bayern M√ºnchen,Bundesliga,Germany
27,Hugo Lloris,GK,88,88,32,Tottenham Hotspur,Premier League,France
28,David Silva,CAM,88,88,33,Manchester City,Premier League,Spain
29,Edinson Cavani,ST,88,88,32,Paris Saint-Germain,Ligue 1,Uruguay
30,Diego Godin,CB,88,88,33,Inter,Serie A,Uruguay
31,Toni Kroos,CM,88,88,29,Real Madrid CF,La Liga,Germany
32,Marco Reus,CAM,88,88,30,Borussia Dortmund,Bundesliga,Germany
33,Aubameyang,ST,88,88,30,Arsenal,Premier League,Gabon
34,Christian Dannemann Eriksen,CAM,88,89,27,Tottenham Hotspur,Premier League,Denmark
35,Thibaut Courtois,GK,88,89,27,Real Madrid CF,La Liga,Belgium
36,Paul Pogba,CM,88,91,26,Manchester United,Premier League,France
37,Raheem Sterling,RW,88,90,24,Manchester City,Premier League,England
38,Sadio Mane,LW,88,88,27,Liverpool,Premier League,Senegal
39,Ederson Santana de Moraes,GK,88,91,25,Manchester City,Premier League,Brazil
40,Paulo Bruno Exequiel Dybala,CAM,88,92,25,Juventus,Serie A,Argentina
27,Gianluigi Buffon,GK,88,88,40,Paris Saint-Germain,Ligue 1,Italy
28,Samir Handanoviƒç,GK,88,88,33,Inter,Serie A,Slovenia
29,Thiago Emiliano da Silva,CB,88,88,33,Paris Saint-Germain,Ligue 1,Brazil
30,Gonzalo Gerardo Higuain,ST,88,88,30,AC Milan,Serie A,Argentina
31,Hugo Lloris,GK,88,88,31,Tottenham Hotspur,Premier League,France
32,Gareth Frank Bale,RW,88,88,28,Real Madrid CF,La Liga,Wales
33,Marcelo Vieira da Silva,LB,88,88,30,Real Madrid CF,La Liga,Brazil
34,Philippe Coutinho Correia,LW,88,89,26,FC Barcelona,La Liga,Brazil
35,Sergio Busquets i Burgos,CDM,88,88,29,FC Barcelona,La Liga,Spain
36,Christian Dannemann Eriksen,CAM,88,91,26,Tottenham Hotspur,Premier League,Denmark
37,Paul Pogba,CM,88,91,25,Manchester United,Premier League,France
38,Lorenzo Insigne,LW,88,88,27,Napoli,Serie A,Italy
39,James Rodriguez,CAM,88,89,26,FC Bayern Munchen,Bundesliga,Colombia
40,Carlos Henrique Venancio Casimiro,CDM,88,91,26,Real Madrid CF,La Liga,Brazil
20,Arjen Robben,RM,88,88,33,FC Bayern Munchen,Bundesliga,Netherlands
21,Zlatan Ibrahimovic,ST,88,88,35,Manchester United,Premier League,Sweden
22,Thiago Silva,CB,88,88,32,Paris Saint-Germain,Ligue 1,Brazil
23,Hugo Lloris,GK,88,88,30,Tottenham Hotspur,Premier League,France
24,Mesut Ozil,CAM,88,88,28,Arsenal,Premier League,Germany
25,Mats Hummels,CB,88,88,28,FC Bayern Munchen,Bundesliga,Germany
26,Diego Godin,CB,88,88,31,Atletico de Madrid,La Liga,Uruguay
27,Jerome Boateng,CB,88,88,28,FC Bayern Munchen,Bundesliga,Germany
28,Leonardo Bonucci,CB,88,88,30,AC Milan,Serie A,Italy
29, Aubameyang,ST,88,88,28,Borussia Dortmund,Bundesliga,Gabon
30,Thiago,CM,88,90,26,FC Bayern Munchen,Bundesliga,Spain
31,Antoine Griezmann,ST,88,91,26,Atletico de Madrid,La Liga,France
32,Jan Oblak,GK,88,93,24,Atletico de Madrid,La Liga,Slovenia
33,Paulo Bruno Exequiel Dybala,CAM,88,93,23,Juventus,Serie A,Argentina
26,Luka Modric,CM,87,87,38,Real Madrid,La Liga,Croatia
27,Frenkie de Jong,CM,87,86,26,FC Barcelona,La Liga,Holland
28,Lautaro Martinez,ST,87,88,26,Inter,Serie A,Argentina
29,Martin odegaard,CAM,87,89,24,Arsenal,Premier League,Norway
30,Mike Maignan,GK,87,85,28,Milan,Serie A,France
31,Marquinhos,CB,87,88,29,Paris SG,Ligue 1,Brazil
32,Gregor Kobel,GK,87,87,25,Borussia Dortmund,Bundesliga,Switzerland
33,Heung Min Son,LW,87,87,31,Spurs,Premier League,Korea Republic
34,Gianluigi Donnarumma,GK,87,90,24,Paris SG,Ligue 1,Italy
35,Manuel Neuer,GK,87,84,37,FC Bayern Munchen,Bundesliga,Germany
31,David De Gea,GK,87,87,31,Manchester United,Premier League,Spain
32,Marco Verratti,CM,87,87,29,Paris Saint Germain,Ligue 1,Italy
33,Antonio Rudiger,CB,87,88,29,Real Madrid,La Liga,Germany
34,Leon  Goretzka,CM,87,88,27,FC Bayern Munchen,Bundesliga,Germany
35,Mike Maignan,GK,87,90,26,Milan,Serie A,France
36,Andrew Robertson,LB,87,87,28,Liverpool,Premier League,Scotland
37,Frenkie de Jong,CM,87,92,25,FC Barcelona,La Liga,Netherlands
38,Rodrigo,CDM,87,89,26,Manchester City,Premier League,Spain
31,Sergio Aguero,ST,87,87,33,FC Barcelona,La Liga,Argentina
32,Hugo Lloris,GK,87,87,34,Tottenham Hotspur,Premier League,France
33,Luka Modric,CM,87,87,35,Real Madrid CF,La Liga,Croatia
34,Andel di Maria,RW,87,87,33,Paris Saint-Germain,Ligue 1,Argentina
35,Wojciech Szczƒôsny,GK,87,87,31,Juventus,Serie A,Poland
36,Thomas Muller,CAM,87,87,31,FC Bayern Munchen,Bundesliga,Germany
37,Ciro Immobile,ST,87,87,31,Lazio,Serie A,Italy
38,Paul Pogba,CM,87,87,28,Manchester United,Premier League,France
39,Marco Verratti,CM,87,87,28,Paris Saint-Germain,Ligue 1,Italy
40,Marcos Corria,CB,87,90,27,Paris Saint-Germain,Ligue 1,Brazil
29,Giorgio Chiellini,CB,87,87,35,Juventus,Serie A,Italy
30,Hugo Lloris,GK,87,87,33,Tottenham Hotspur,Premier League,France
31,Luis Suarez,ST,87,87,33,FC Barcelona,La Liga,Uruguay
32,Luka Modric,CM,87,87,34,Real Madrid CF,La Liga,Croatia
33,Di Maria,RW,87,87,32,Paris Saint-Germain,Ligue 1,Argentina
34,Wojciech Tomasz Szczƒôsny,GK,87,87,30,Juventus,Serie A,Poland
35, Aubameyang,ST,87,87,31,Arsenal,Premier League,Gabon
36,Sergio Busquets i Burgos,CDM,87,87,31,FC Barcelona,La Liga,Spain
37,Ciro Immobile,ST,87,87,30,Lazio,Serie A,Italy
38,Keylor Navas Gamboa,GK,87,87,33,Paris Saint-Germain,Ligue 1,Costa Rica
39,Antoine Griezmann,ST,87,87,29,FC Barcelona,La Liga,France
40,Son,LM,87,87,27,Tottenham Hotspur,Premier League,Korea Republic
34,Andres Iniesta,CM,87,87,33,FC Barcelona,La Liga,Spain
35,Gerard Pique,CB,87,87,30,FC Barcelona,La Liga,Spain
36,Samir Handanovic,GK,87,87,32,Inter,Serie A,Slovenia
37,David Silva,CAM,87,87,31,Manchester City,Premier League,Spain
38,Ivan Rakitic,CM,87,87,29,FC Barcelona,La Liga,Croatia
39,Marek Hamsic,CM,87,87,29,Napoli,Serie A,Slovakia
40,Marcelo Vieira da Silva,LB,87,87,29,Real Madrid CF,La Liga,Brazil
36,Ousmane Dembele,RW,86,93,26,Paris SG,Ligue 1,France
37,Bukayo Saka,RW,86,92,22,Arsenal,Premier League,England
38,Jude Bellingham,CM,86,96,20,Real Madrid,La Liga,England
39,Rafael Leao,LW,86,93,24,Milan,Serie A,Portugal
40,Pedri,CM,86,94,20,FC Barcelona,La Liga,Spain
39,Thiago Silva,CB,86,86,37,Chelsea,Premier League,Brazil
40,Hugo Lloris,GK,86,86,35,Tottenham Hotspur,Premier League,France
